mode,canny_mse_mean,canny_mse_std,canny_mse_median,clip_similarity_mean,clip_similarity_std,clip_similarity_median,canny_score,clip_score,balanced_score
naive_combined,0.1297341537475586,0.0729074561683907,0.12084770202636719,0.6452603304386139,0.1097253079077554,0.6495978236198425,1.0,0.15109762779750519,0.5755488138987526
tau_0p25,0.17134872436523438,0.06975460648483828,0.1656646728515625,0.8097906273603439,0.0698949543236747,0.820244699716568,0.0,1.0,0.5
tau_0p4,0.1658868408203125,0.075767773022308,0.1551227569580078,0.7642921936511994,0.07629598729167753,0.7617239356040955,0.13124930676569208,0.76524853458713,0.4482489206764111
tau_0p5,0.16126266479492188,0.07754333813237343,0.15074920654296875,0.7172024816274643,0.09630705374356098,0.7293369174003601,0.24236846423277636,0.5222867883848624,0.3823276263088194
tau_0p6,0.15589214324951173,0.07685092978843269,0.1488780975341797,0.6631247517466545,0.09468329693098879,0.6887553930282593,0.371422338049007,0.24327001130468895,0.307346174676848
tau_0p75,0.15182449340820312,0.07824070721549961,0.13922500610351562,0.6159752932190895,0.09773778414172722,0.6240380108356476,0.46916814633041887,0.0,0.23458407316520943
